DecYear,Lat,BGFlx
"2010.0361"," 27.63","2.10e-08"
"2010.0367"," 28.73","7.19e-08"
"2010.0381"," 28.18","2.63e-07"
"2010.0425"," 32.66","1.99e-07"
"2010.0431"," 28.42","8.39e-08"
"2010.0432"," 26.08","2.46e-07"
"2010.0432"," 28.49","3.26e-08"
"2010.0437"," 28.10","4.75e-08"
"2010.0461"," 30.00","1.63e-07"
"2010.0461"," 29.62","1.42e-07"
"2010.0461"," 29.92","5.01e-08"
"2010.0461"," 31.14","1.86e-08"
"2010.0462"," 30.12","1.65e-08"
"2010.0462"," 29.63","2.27e-07"
"2010.0463"," 29.85","2.99e-08"
"2010.0466"," 29.75","6.87e-08"
"2010.0467"," 30.13","6.88e-08"
"2010.0472","-28.72","2.32e-07"
"2010.0472","-28.23","1.61e-07"
"2010.0478"," 30.31","3.34e-08"
"2010.0485","-28.28","5.89e-08"
"2010.0488"," 28.91","9.83e-08"
"2010.0489","-27.10","9.12e-07"
"2010.0489","-27.57","3.37e-06"
"2010.0494","-28.96","1.17e-07"
"2010.0496","-24.79","7.95e-08"
"2010.0496"," 28.90","3.10e-08"
"2010.0498"," 28.82","2.69e-07"
"2010.0501","-25.30","2.29e-07"
"2010.0501","-25.10","2.14e-07"
"2010.0502","-25.04","2.57e-08"
"2010.0502"," 28.68","1.68e-07"
"2010.0503"," 29.24","1.24e-06"
"2010.0505","-25.43","4.03e-07"
"2010.0507"," 28.92","8.10e-08"
"2010.0508","-26.21","5.92e-06"
"2010.0509","-25.25","6.23e-07"
"2010.0511","-25.04","1.89e-06"
"2010.0512","-25.45","5.80e-08"
"2010.0512","-24.66","8.15e-08"
"2010.0514","-25.48","9.11e-08"
"2010.0515","-26.68","1.50e-06"
"2010.0516","-25.24","1.39e-08"
"2010.0516","-25.45","1.68e-07"
"2010.0516","-25.13","2.21e-07"
"2010.0516","-25.14","9.65e-08"
"2010.0516","-25.24","3.56e-06"
"2010.0518"," 30.24","4.65e-08"
"2010.0519","-25.62","1.77e-08"
"2010.0520","-25.23","1.64e-06"
"2010.0521","-25.22","2.77e-06"
"2010.0522","-25.63","1.83e-07"
"2010.0522","-25.35","3.19e-07"
"2010.0522","-25.38","2.73e-07"
"2010.0523","-24.08","1.30e-07"
"2010.0523","-25.17","3.25e-07"
"2010.0523","-24.68","1.12e-07"
"2010.0524","-25.14","6.46e-07"
"2010.0525","-25.09","1.97e-07"
"2010.0525","-25.45","1.08e-07"
"2010.0525","-25.30","5.82e-08"
"2010.0525","-25.62","1.32e-07"
"2010.0527","-24.60","6.28e-07"
"2010.0527","-25.36","3.55e-07"
"2010.0529","-25.10","7.23e-06"
"2010.0529","-24.67","2.11e-06"
"2010.0532","-23.34","2.60e-07"
"2010.0533"," 24.72","1.19e-07"
"2010.0533","-24.83","6.61e-07"
"2010.0536","-25.15","2.62e-07"
"2010.0536","-24.83","5.18e-08"
"2010.0537","-24.68","2.30e-07"
"2010.0538","-24.56","1.40e-06"
"2010.0539","-25.58","9.73e-08"
"2010.0539","-24.91","7.01e-08"
"2010.0540","-24.78","2.08e-07"
"2010.0541","-24.99","3.50e-05"
"2010.0543","-26.08","3.61e-08"
"2010.0545","-24.98","9.60e-08"
"2010.0545","-24.70","1.45e-08"
"2010.0546","-26.36","2.34e-07"
"2010.0547","-24.32","3.79e-08"
"2010.0547","-24.28","2.85e-08"
"2010.0547","-24.05","8.65e-08"
"2010.0548","-25.21","4.98e-07"
"2010.0549","-24.67","2.46e-08"
"2010.0552","-26.27","2.18e-06"
"2010.0556","-26.15","4.22e-08"
"2010.0556","-26.02","1.55e-07"
"2010.0560","-25.55","1.04e-07"
"2010.0594","-24.32","1.32e-07"
"2010.0595","-23.52","1.41e-07"
"2010.0595","-24.04","5.80e-08"
"2010.0600","-23.83","6.94e-08"
"2010.0600","-24.32","1.06e-07"
"2010.0601"," 20.35","6.53e-08"
"2010.0603"," 20.62","5.26e-08"
"2010.0603"," 20.52","5.97e-08"
"2010.0609"," 20.16","1.50e-07"
"2010.0613","-27.73","5.13e-08"
"2010.0618","-25.97","4.83e-08"
"2010.0621","-25.62","3.06e-07"
"2010.0622","-25.58","1.57e-07"
"2010.0627","-25.78","1.10e-07"
"2010.0628"," 21.28","1.52e-07"
"2010.0631"," 21.42","8.91e-08"
"2010.0631"," 22.37","2.64e-08"
"2010.0635"," 21.11","4.42e-08"
"2010.0686"," 23.06","2.06e-07"
"2010.0705"," 24.92","4.65e-07"
"2010.0709"," 25.54","3.77e-07"
"2010.0709"," 24.96","2.95e-07"
"2010.0709"," 25.13","7.33e-08"
"2010.0711"," 25.13","6.71e-08"
"2010.0713"," 25.30","5.72e-07"
"2010.0715"," 20.55","6.25e-08"
"2010.0747","-26.88","3.11e-07"
"2010.0782"," -0.68","2.22e-08"
"2010.0824"," 24.52","1.40e-07"
"2010.0828"," 24.66","3.84e-07"
"2010.0981"," 21.52","3.02e-07"
"2010.0985"," 22.08","7.73e-08"
"2010.0986"," 21.28","9.28e-08"
"2010.0994"," 21.40","4.04e-06"
"2010.0996"," 21.11","1.80e-07"
"2010.0997"," 21.47","7.79e-08"
"2010.0999"," 22.93","4.69e-07"
"2010.1003"," 22.13","4.01e-08"
"2010.1003"," 22.33","5.91e-07"
"2010.1004"," 21.56","1.94e-06"
"2010.1005"," 22.31","2.46e-07"
"2010.1007"," 22.68","1.26e-07"
"2010.1008"," 21.63","2.95e-05"
"2010.1010"," 21.88","2.07e-07"
"2010.1012"," 21.78","8.47e-07"
"2010.1012"," 22.41","5.99e-07"
"2010.1013"," 21.91","1.02e-08"
"2010.1013"," 21.77","1.23e-08"
"2010.1015"," 21.54","9.60e-08"
"2010.1016"," 21.39","2.22e-08"
"2010.1016"," 21.26","3.61e-07"
"2010.1018"," 20.91","4.09e-07"
"2010.1019"," 21.80","4.89e-08"
"2010.1019"," 21.94","1.40e-07"
"2010.1019"," 21.06","1.07e-05"
"2010.1020"," 23.06","4.31e-08"
"2010.1021"," 20.99","2.40e-08"
"2010.1021"," 22.15","5.28e-08"
"2010.1021"," 23.22","4.99e-08"
"2010.1021"," 21.60","4.64e-08"
"2010.1021"," 21.99","2.87e-07"
"2010.1023"," 21.63","9.23e-07"
"2010.1024"," 24.63","1.57e-07"
"2010.1025"," 22.27","3.50e-08"
"2010.1027"," 22.06","4.50e-08"
"2010.1030"," 21.65","6.67e-08"
"2010.1030"," 21.51","2.69e-08"
"2010.1034"," 21.87","1.52e-07"
"2010.1034"," 22.28","3.63e-08"
"2010.1034"," 22.45","2.69e-08"
"2010.1035"," 21.09","6.47e-08"
"2010.1037"," 21.22","1.07e-07"
"2010.1037"," 22.36","4.82e-08"
"2010.1039"," 22.81","2.86e-08"
"2010.1039"," 21.93","6.27e-07"
"2010.1041"," 22.67","1.30e-06"
"2010.1042"," 21.49","2.58e-07"
"2010.1043"," 21.88","4.01e-08"
"2010.1043"," 21.62","4.08e-07"
"2010.1043"," 21.87","2.60e-07"
"2010.1043"," 21.91","1.26e-07"
"2010.1043"," 21.83","7.98e-08"
"2010.1044"," 21.86","8.86e-08"
"2010.1044"," 22.29","1.57e-08"
"2010.1044"," 22.12","3.52e-07"
"2010.1045"," 22.13","5.77e-06"
"2010.1045"," 22.19","1.71e-07"
"2010.1047"," 22.27","6.74e-08"
"2010.1047"," 21.94","1.19e-07"
"2010.1047"," 21.28","5.16e-07"
"2010.1047"," 22.52","7.64e-06"
"2010.1048"," 21.79","5.96e-06"
"2010.1049"," 21.95","2.39e-07"
"2010.1049"," 22.07","5.81e-08"
"2010.1049"," 21.83","4.61e-07"
"2010.1050"," 22.52","4.11e-05"
"2010.1050"," 22.73","1.08e-06"
"2010.1051"," 22.65","3.29e-08"
"2010.1052"," 21.98","5.20e-08"
"2010.1052"," 21.95","1.15e-07"
"2010.1052"," 21.79","4.00e-08"
"2010.1052"," 21.69","3.99e-08"
"2010.1052"," 22.10","2.35e-06"
"2010.1053"," 21.55","2.44e-07"
"2010.1054"," 21.73","7.09e-07"
"2010.1054"," 22.48","5.35e-07"
"2010.1054"," 22.21","4.74e-08"
"2010.1054"," 22.23","2.22e-08"
"2010.1054"," 22.40","2.15e-08"
"2010.1055"," 21.52","3.44e-07"
"2010.1056"," 22.44","7.50e-08"
"2010.1058"," 22.43","3.43e-07"
